gene_name	transcript_name	1	7	12	14	1_pct	7_pct	12_pct	14_pct	p.value	statistic	major_group	p.value.adjusted
EIF2B3	ISOT-2eed-5d31-d289-53b3:s44874500:e44986600:AP:FL	73.9349231334845	31.5883872238445	41.158063439484	30.4316993739615	0.0854749139702805	0.0730932354715003	0.110043666133672	0.111363134155703	0.00294207750748056	19.8523043973267	astrocytes	0.0118382999791231
EIF2B3	ISOT-3f8e-6658-d850-52bc:s44850800:e44986600:NC:FL	186.046339775826	63.8052010941948	52.7767164457931	37.2331600063258	0.215085026302304	0.14764060459421	0.141108275726618	0.136252706162478	0.00294207750748056	19.8523043973267	astrocytes	0.0118382999791231
EIF2B3	ISOT-4493-056d-8ed2-a66a:s44850500:e44986600:AP:FL	395.102342027735	218.919005818271	166.656273761685	130.513380556774	0.456771134167613	0.506562691158315	0.44558625494802	0.47760655523873	0.00294207750748056	19.8523043973267	astrocytes	0.0118382999791231
HNRNPUL2	ISOT-1061-286a-7380-ae15:s62714750:e62726900:EC:FL	163.180195658117	70.8017709654984	54.8794189927688	53.822144383202	0.252600922071389	0.286646846014163	0.182931396642563	0.257522221929196	0.00295462143305899	19.8419075163438	astrocytes	0.0118786817546412
HNRNPUL2	ISOT-76af-cd64-d299-83f6:s62714750:e62726850:NC:FL	247.149204938558	87.617932257087	104.004382758249	59.187463805394	0.382583908573619	0.354728470676465	0.34668127586083	0.283193606724373	0.00295462143305899	19.8419075163438	astrocytes	0.0118786817546412
HNRNPUL2	ISOT-b0be-9570-002b-2535:s62712600:e62727500:AP:FL	235.670599403325	88.5802967774148	141.116198248982	95.9903918114041	0.364815169354993	0.358624683309371	0.470387327496607	0.459284171346431	0.00295462143305899	19.8419075163438	astrocytes	0.0118786817546412
FLAD1	ISOT-3317-5863-0cc6-d37b:s154983200:e154993150:AP:FL	97.9019609522828	37.72450572233	37.1995168341864	26.1138650908463	0.131276557965588	0.125752933297005	0.110164518238954	0.124073272221462	0.00298669829613895	19.8155155988416	astrocytes	0.0119974581259661
FLAD1	ISOT-433e-2923-3078-8672:s154983350:e154993150:AP:FL	177.657824227824	104.734267097694	92.1380561727245	57.4675733652185	0.238221047192828	0.349126941547997	0.272862269017797	0.273042303360484	0.00298669829613895	19.8155155988416	astrocytes	0.0119974581259661
FLAD1	ISOT-b5fc-acd5-ffaa-20c2:s154983150:e154989050:AP:FL	265.625839635397	75.2161511796795	105.155947090057	87.0603478777081	0.356177195991508	0.250729637434505	0.31141410526308	0.413644713425148	0.00298669829613895	19.8155155988416	astrocytes	0.0119974581259661
FNTB	ISOT-162c-00b1-8a99-d7c2:s64986850:e65062700:NC:FL	25.5213890667206	6.95789646239326	21.3872331524337	11.0456859560256	0.122698985897695	0.0915512692420166	0.257677507860647	0.149266026432778	0.00299988522170111	19.804745894903	astrocytes	0.0120402172965902
FNTB	ISOT-299b-d12d-afda-8ca1:s64986900:e65062700:DN:FL	10.9425831052228	4.38410766289996	9.49115004474039	5.47272732508492	0.0526085726212637	0.0576856271434206	0.114351205358318	0.0739557746633097	0.00299988522170111	19.804745894903	astrocytes	0.0120402172965902
FNTB	ISOT-b4a5-0913-c629-fd02:s64986850:e65062700:AP:FL	138.487950225816	56.8415217426566	36.407564933608	45.7253732472894	0.665807453008733	0.747914759771797	0.438645360645879	0.617910449287695	0.00299988522170111	19.804745894903	astrocytes	0.0120402172965902
SFXN1	ISOT-1c5a-fe98-dca2-119a:s175478500:e175528650:AP:FL	232.517073904587	94.3540182951897	70.8385891521983	47.5945422026016	0.161427650595382	0.143052511152358	0.153529200027706	0.117357857157952	0.00301229210192674	19.7946553318311	astrocytes	0.012079775948116
SFXN1	ISOT-b8a1-487d-4558-6b07:s175478550:e175529750:AP:FL	1004.26367526162	463.151894439482	333.676817576349	314.376221686759	0.697221597336509	0.702196289481371	0.723181185331355	0.775183834346337	0.00301229210192674	19.7946553318311	astrocytes	0.012079775948116
SFXN1	ISOT-d700-8b4c-855c-7b02:s175478400:e175509450:AP:FL	101.677192725685	66.3584356272678	22.7428681310257	21.5876773687284	0.0705905595026388	0.10060770091343	0.0492908511064498	0.0532305478688414	0.00301229210192674	19.7946553318311	astrocytes	0.012079775948116
IPO7	ISOT-59a1-42f0-87a4-4627:s9384650:e9446900:DN:FL	240.929134717868	98.3348946907864	82.9113627352069	54.884290591395	0.195605863710407	0.192134137605766	0.196565719288676	0.124061787602063	0.00302570088088686	13.9132100006314	astrocytes	0.0121267018661892
IPO7	ISOT-75b9-ac16-c107-8203:s9384650:e9448150:AP:FL	906.990493995071	375.574606008371	315.467419017779	367.59471914135	0.736368638698625	0.733826006108539	0.747908104338038	0.830920058879369	0.00302570088088686	13.9132100006314	astrocytes	0.0121267018661892
DGUOK	ISOT-4b69-7937-e046-ab74:s73926850:e73958950:AP:FL	1428.17695735466	631.619447313854	566.838150615624	343.795819916158	0.315206100422881	0.328573742384613	0.318532929416346	0.301873235990063	0.00303852663208537	19.7734515130589	astrocytes	0.0121678090159721
DGUOK	ISOT-4ec4-d79c-b77a-dbe2:s73926800:e73959000:AP:FL	921.448522103441	395.314069028865	338.075186884825	253.214131169658	0.203368492886646	0.205645699527616	0.189980296005916	0.222337110419894	0.00303852663208537	19.7734515130589	astrocytes	0.0121678090159721
DGUOK	ISOT-7bb4-ff3f-8134-db59:s73926750:e73958950:AP:FL	618.503083707643	289.506127641146	324.989974179009	172.920436919317	0.136506855198196	0.150603519582673	0.182627101569916	0.151834457656814	0.00303852663208537	19.7734515130589	astrocytes	0.0121678090159721
AACS	ISOT-4d02-a531-421e-4441:s125065400:e125143350:NC:FL	49.4454689028048	23.9123287102161	39.0605193624455	8.96044672497663	0.216866091678968	0.271731008070638	0.298171903530119	0.157200819736432	0.00306737181978876	19.7503427852465	astrocytes	0.0122729424994533
AACS	ISOT-6ef3-e6ba-4518-162b:s125065400:e125143350:EC:FL	52.8449934649335	22.5567178389663	44.003137393262	6.20784807335886	0.231776287126902	0.256326339079163	0.335901812162305	0.108909615322085	0.00306737181978876	19.7503427852465	astrocytes	0.0122729424994533
AACS	ISOT-a92b-72b2-7611-5790:s125065400:e125143350:AP:FL	45.329093835986	16.2358426344638	13.0718874251932	15.8511595064657	0.198811815070114	0.18449821175527	0.0997854001923142	0.278090517657293	0.00306737181978876	19.7503427852465	astrocytes	0.0122729424994533
SLC35A2	ISOT-0074-a1f7-2347-4922:s48903150:e48911650:AP:FL	17.6852179414988	19.6707961287339	19.4276029061078	3.41985549714734	0.0492624455194954	0.0945711352342975	0.126977796771947	0.0534352421429273	0.00307266465875025	24.9097396835379	astrocytes	0.012280286771174
SLC35A2	ISOT-63d2-39c5-3b89-eb9d:s48903150:e48911650:AP:FL	56.1402839132451	46.0219580547254	17.0003127470131	12.0384134501016	0.156379620928259	0.221259413724641	0.111113155209236	0.188100210157838	0.00307266465875025	24.9097396835379	astrocytes	0.012280286771174
SLC35A2	ISOT-7a8c-0e55-5810-d784:s48903600:e48911700:AP:FL	157.31595182323	73.3298607459296	75.8373909935435	21.5805257618614	0.438205993936575	0.352547407432354	0.495669222180023	0.337195715029084	0.00307266465875025	24.9097396835379	astrocytes	0.012280286771174
SLC35A2	ISOT-cc2f-0b4a-1be3-aa41:s48903150:e48911650:AP:FL	120.908535955526	60.833541146382	39.7282224857288	22.8172970804717	0.336792579263304	0.292468947819144	0.259661584874045	0.356520266882371	0.00307266465875025	24.9097396835379	astrocytes	0.012280286771174
AP2A2	ISOT-1b7c-7ff0-772d-f29c:s996050:e1010950:EC:FL	14.4854355448447	11.130014800067	19.9290058689282	3.037092421497	0.0353552721203751	0.0499511977699255	0.115613575703875	0.0329664997106371	0.00310691005178898	38.7198696273767	astrocytes	0.0123927507062936
